stop_transit_point_key,stopName,stop_latitude,stop_longitude
10427,EB 88 AV AT 158 ST,49.1627,"-122.78468"
10428,FLAGSTOP EB 98 AV AT 26400 BLOCK,49.17904,"-122.48933"
10429,NB GRANVILLE ST AT W GEORGIA ST,49.28231,"-123.11829"
1043,WB DAVIE ST AT GRANVILLE ST,49.27743,"-123.12651"
10430,FLAGSTOP SB MT GRDNR RD KILLARNY LK,49.38876,"-123.35714"
10431,EB DAVID AV AT GENEST WAY,49.29284,"-122.78577"
10432,NB 156 ST AT KING GEORGE BLVD,49.04312,"-122.78977"
10434,SB 160 ST AT 108 AV,49.1982,"-122.77878"
10435,EB W 16 AV AT BLENHEIM ST,49.25768,"-123.17843"
10436,EB W 16 AV AT DUNBAR ST,49.25778,"-123.1846"
10437,EB W 16 AV AT MACDONALD ST,49.25752,"-123.16791"
10438,WB 103A AV AT SCOTT RD,49.19071,"-122.89138"
10439,NB ADMIRAL BLVD AT COVE REACH RD,49.10939,"-123.07261"
1044,WB E HASTINGS ST AT COMMERCIAL DR,49.28136,"-123.07117"
10440,SB FERRY RD AT 5900 BLOCK,49.11018,"-123.07851"
10442,NB INSTITUTIONAL ACCESS AT CESSNA,49.18581,"-123.14407"
10443,EB W 16 AV AT EAST BLVD,49.2572,"-123.15197"
10444,WB 64 AV AT 203 ST,49.11902,"-122.66072"
10446,EB MARPOLE AV AT MCRAE AV,49.25741,"-123.13776"
10447,EB W 16 AV AT OAK ST,49.25696,"-123.1277"
10448,WB INDIAN RIVER DR AT MT SEYMOUR RD,49.32142,"-122.9687"
1045,WB E HASTINGS ST AT MCLEAN DR,49.28137,"-123.07448"
10451,WB EAST RD AT 2300 BLOCK,49.31456,"-122.84904"
10453,EB W 29 AV AT CAMBIE ST,49.24508,"-123.11444"
10454,EB MIDLOTHIAN AV AT CLANCY LORANGER,49.24258,"-123.1088"
10455,EB E 33 AV AT ONTARIO ST,49.24049,"-123.10482"
10457,EB E 33 AV AT PRINCE EDWARD ST,49.24034,"-123.09651"
10459,EB E 33 AV AT FRASER ST,49.24024,"-123.08981"
1046,WB E HASTINGS ST AT CLARK DR,49.28146,"-123.0779"
